0 -9.079
0.0199 -9.067
0.0398 -9.029
0.0597 -8.967
0.0796 -8.883
0.0995 -8.778
0.1195 -8.653
0.1394 -8.512
0.1593 -8.356
0.1792 -8.187
0.1991 -8.006
0.219 -7.815
0.2389 -7.616
0.2588 -7.411
0.2787 -7.201
0.2986 -6.989
0.3185 -6.777
0.3384 -6.57
0.3584 -6.373
0.3783 -6.192
0.3982 -6.035
0.4181 -5.909
0.438 -5.817
0.4579 -5.755
0.4778 -5.717
0.4977 -5.694
0.5176 -5.682
0.5375 -5.675
0.5574 -5.672
0.5774 -5.672
0.5976 -5.672
0.6178 -5.675
0.638 -5.682
0.6582 -5.695
0.6784 -5.719
0.6986 -5.759
0.7188 -5.823
0.739 -5.917
0.7592 -6.044
0.7794 -6.2
0.7996 -6.377
0.8198 -6.568
0.84 -6.767
0.8602 -6.968
0.8804 -7.169
0.9006 -7.366
0.9208 -7.558
0.941 -7.743
0.9612 -7.92
0.9814 -8.087
1.0016 -8.245
1.0218 -8.391
1.042 -8.525
1.0622 -8.646
1.0824 -8.753
1.1026 -8.846
1.1228 -8.924
1.143 -8.988
1.1632 -9.037
1.1834 -9.072
1.2036 -9.095
1.2238 -9.107
1.244 -9.111
1.2636 -9.108
1.2832 -9.102
1.3028 -9.093
1.3224 -9.084
1.342 -9.076
1.3617 -9.07
1.3813 -9.066
1.4009 -9.064
1.4205 -9.063
1.4401 -9.065
1.4597 -9.067
1.4793 -9.07
1.4989 -9.073
1.5185 -9.075
1.5381 -9.077
1.5577 -9.079
1.5773 -9.079
NaN NaN
0 -4.719
0.0199 -4.716
0.0398 -4.707
0.0597 -4.692
0.0796 -4.671
0.0995 -4.645
0.1195 -4.612
0.1394 -4.575
0.1593 -4.531
0.1792 -4.483
0.1991 -4.43
0.219 -4.372
0.2389 -4.44
0.2588 -4.51
0.2787 -4.574
0.2986 -4.628
0.3185 -4.672
0.3384 -4.701
0.3584 -4.711
0.3783 -4.696
0.3982 -4.648
0.4181 -4.562
0.438 -4.437
0.4579 -4.277
0.4778 -4.093
0.4977 -3.894
0.5176 -3.696
0.5375 -3.515
0.5574 -3.379
0.5774 -3.326
0.5976 -3.38
0.6178 -3.52
0.638 -3.704
0.6582 -3.904
0.6784 -4.102
0.6986 -4.285
0.7188 -4.44
0.739 -4.559
0.7592 -4.637
0.7794 -4.677
0.7996 -4.685
0.8198 -4.669
0.84 -4.633
0.8602 -4.583
0.8804 -4.557
0.9006 -4.693
0.9208 -4.831
0.941 -4.969
0.9612 -5.106
0.9814 -5.241
1.0016 -5.373
1.0218 -5.5
1.042 -5.622
1.0622 -5.739
1.0824 -5.848
1.1026 -5.948
1.1228 -6.04
1.143 -6.121
1.1632 -6.191
1.1834 -6.247
1.2036 -6.289
1.2238 -6.315
1.244 -6.324
1.2636 -6.315
1.2832 -6.288
1.3028 -6.243
1.3224 -6.179
1.342 -6.096
1.3617 -5.997
1.3813 -5.882
1.4009 -5.753
1.4205 -5.614
1.4401 -5.468
1.4597 -5.319
1.4793 -5.172
1.4989 -5.032
1.5185 -4.908
1.5381 -4.808
1.5577 -4.742
1.5773 -4.719
NaN NaN
0 -3.699
0.0199 -3.708
0.0398 -3.734
0.0597 -3.775
0.0796 -3.829
0.0995 -3.894
0.1195 -3.966
0.1394 -4.044
0.1593 -4.124
0.1792 -4.206
0.1991 -4.287
0.219 -4.365
0.2389 -4.31
0.2588 -4.245
0.2787 -4.176
0.2986 -4.104
0.3185 -4.03
0.3384 -3.954
0.3584 -3.878
0.3783 -3.803
0.3982 -3.728
0.4181 -3.656
0.438 -3.588
0.4579 -3.524
0.4778 -3.468
0.4977 -3.419
0.5176 -3.379
0.5375 -3.35
0.5574 -3.332
0.5774 -3.326
0.5976 -3.332
0.6178 -3.351
0.638 -3.382
0.6582 -3.425
0.6784 -3.481
0.6986 -3.548
0.7188 -3.626
0.739 -3.715
0.7592 -3.814
0.7794 -3.921
0.7996 -4.037
0.8198 -4.159
0.84 -4.287
0.8602 -4.419
0.8804 -4.518
0.9006 -4.449
0.9208 -4.371
0.941 -4.286
0.9612 -4.197
0.9814 -4.103
1.0016 -4.007
1.0218 -3.909
1.042 -3.811
1.0622 -3.714
1.0824 -3.62
1.1026 -3.531
1.1228 -3.448
1.143 -3.374
1.1632 -3.311
1.1834 -3.261
1.2036 -3.226
1.2238 -3.205
1.244 -3.198
1.2636 -3.204
1.2832 -3.22
1.3028 -3.244
1.3224 -3.275
1.342 -3.309
1.3617 -3.347
1.3813 -3.386
1.4009 -3.425
1.4205 -3.465
1.4401 -3.503
1.4597 -3.541
1.4793 -3.578
1.4989 -3.613
1.5185 -3.645
1.5381 -3.673
1.5577 -3.692
1.5773 -3.699
NaN NaN
0 -1.443
0.0199 -1.435
0.0398 -1.411
0.0597 -1.372
0.0796 -1.322
0.0995 -1.264
0.1195 -1.199
0.1394 -1.132
0.1593 -1.062
0.1792 -0.993
0.1991 -0.925
0.219 -0.859
0.2389 -0.797
0.2588 -0.74
0.2787 -0.691
0.2986 -0.653
0.3185 -0.629
0.3384 -0.623
0.3584 -0.64
0.3783 -0.683
0.3982 -0.756
0.4181 -0.86
0.438 -0.994
0.4579 -1.154
0.4778 -1.335
0.4977 -1.528
0.5176 -1.722
0.5375 -1.9
0.5574 -2.035
0.5774 -2.087
0.5976 -2.033
0.6178 -1.896
0.638 -1.714
0.6582 -1.514
0.6784 -1.314
0.6986 -1.12
0.7188 -0.939
0.739 -0.775
0.7592 -0.629
0.7794 -0.502
0.7996 -0.396
0.8198 -0.313
0.84 -0.254
0.8602 -0.22
0.8804 -0.212
0.9006 -0.23
0.9208 -0.27
0.941 -0.33
0.9612 -0.406
0.9814 -0.493
1.0016 -0.588
1.0218 -0.687
1.042 -0.787
1.0622 -0.885
1.0824 -0.98
1.1026 -1.069
1.1228 -1.149
1.143 -1.219
1.1632 -1.277
1.1834 -1.322
1.2036 -1.352
1.2238 -1.369
1.244 -1.374
1.2636 -1.37
1.2832 -1.36
1.3028 -1.346
1.3224 -1.33
1.342 -1.315
1.3617 -1.303
1.3813 -1.295
1.4009 -1.29
1.4205 -1.291
1.4401 -1.298
1.4597 -1.311
1.4793 -1.33
1.4989 -1.356
1.5185 -1.385
1.5381 -1.414
1.5577 -1.435
1.5773 -1.443
NaN NaN
0 -0.503
0.0199 -0.497
0.0398 -0.478
0.0597 -0.447
0.0796 -0.405
0.0995 -0.35
0.1195 -0.286
0.1394 -0.213
0.1593 -0.134
0.1792 -0.052
0.1991 0.031
0.219 0.111
0.2389 0.184
0.2588 0.249
0.2787 0.304
0.2986 0.349
0.3185 0.384
0.3384 0.409
0.3584 0.426
0.3783 0.432
0.3982 0.427
0.4181 0.409
0.438 0.382
0.4579 0.351
0.4778 0.319
0.4977 0.29
0.5176 0.266
